"","#0F4A9C","#53f1fc","#635547","#67000d","#7F6874","#8870ad","#90BF75","#9e6762","#C594BF","#DABE99","#DFCDE4","#EF5A9D","#cc7818","#d6616b","#ffad1e","#ffd854"
"Pde6h",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Pde7a",12,10,90,1,3,25,52,5,142,59,45,50,23,2,1,19
"Pde7b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pde8a",0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0
"Pde8b",0,0,3,0,0,0,3,1,5,0,1,0,0,0,0,0
"Pde9a",3,1,20,0,0,1,11,0,8,10,0,3,2,0,0,4
"Pdgfa",12,4,45,11,4,34,28,7,135,53,29,34,56,11,3,36
"Pdgfb",0,1,0,1,3,10,2,0,1,0,0,0,15,0,0,0
"Pdgfc",3,0,3,0,0,2,9,0,7,7,1,9,10,0,0,0
"Pdgfd",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Pdgfrb",0,1,2,0,0,5,3,2,9,1,3,0,10,0,0,0
"Pdgfrl",1,0,1,0,0,1,3,1,5,1,3,1,3,0,0,0
"Pdha1",63,40,241,9,41,129,188,40,666,240,129,159,219,24,4,128
"Pdha2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pdhb",43,19,225,33,46,73,178,25,418,159,85,95,78,89,16,213
"Pdhx",11,8,65,5,9,19,48,14,161,43,25,26,39,17,11,41
"Pdia2",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"Pdia3",98,49,451,51,116,145,297,36,831,276,177,236,193,86,27,166
"Pdia5",5,5,14,3,17,5,6,2,29,11,4,14,5,1,0,6
"Pdik1l",3,3,18,0,0,6,14,4,39,9,1,10,6,2,1,3
"Pdilt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pdk1",9,3,69,3,9,11,62,6,43,46,13,7,13,8,5,74
"Pdk2",2,1,13,0,0,1,9,0,4,7,0,3,2,1,0,0
"Pdk3",18,14,104,2,1,32,90,12,168,74,43,30,48,2,4,21
"Pdk4",0,0,0,0,0,2,0,0,0,1,2,1,2,0,0,1
"Pdlim1",6,6,69,42,20,13,54,10,94,39,22,29,91,78,10,115
"Pdlim2",2,4,15,13,1,6,9,3,76,8,13,3,4,11,0,5
"Pdlim4",7,1,8,0,0,20,16,5,97,17,25,4,26,0,0,0
"Pdp1",10,3,25,0,2,4,20,4,27,17,7,7,5,1,0,4
"Pdp2",0,0,7,0,0,1,3,0,22,5,2,2,0,0,0,4
"Pdpk1",13,7,79,4,15,22,45,8,148,44,18,27,35,11,2,38
"Pdpn",8,2,134,0,20,9,122,9,80,89,22,65,24,1,0,9
"Pdpr",0,0,4,0,1,1,2,0,1,1,0,0,0,0,0,0
"Pdrg1",6,4,72,1,3,14,43,8,106,37,30,18,19,11,12,73
"Pds5b",21,27,175,15,16,51,100,18,393,109,88,50,85,22,8,75
"Pdss1",1,6,51,3,9,16,29,1,69,37,21,16,20,9,4,33
"Pdx1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Pdxdc1",10,8,70,12,23,28,54,5,166,42,24,26,44,25,4,35
"Pdxk-ps",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pdxp",8,7,43,3,4,16,32,4,73,20,20,17,16,7,3,46
"Pdyn",0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
"Pdzd11",11,11,100,6,19,27,68,6,169,47,27,42,37,11,4,38
"Pdzd3",0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,3
"Pdzd4",10,4,269,0,0,5,116,16,87,65,14,9,12,0,0,7
"Pdzd7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pdzd8",10,13,93,13,15,31,46,5,192,52,29,30,42,18,2,34
"Pdzd9",0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
"Pdzk1",0,1,1,0,45,2,3,3,25,6,5,0,4,0,1,1
"Pdzk1ip1",0,2,3,0,2,1,1,0,0,2,0,1,0,0,0,0
"Pdzph1",0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0
"Pdzrn3",18,8,44,0,0,4,33,6,104,24,30,21,20,0,0,3
"Pdzrn4",2,0,0,0,0,1,0,2,6,2,3,4,1,0,0,0
"Pea15a",11,5,148,18,5,27,112,19,157,78,26,47,57,47,5,53
"Pear1",0,1,0,1,0,2,0,0,1,0,1,0,1,2,0,0
"Pebp1",53,21,293,12,18,102,248,30,532,173,99,103,105,28,10,98
"Pebp4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pecam1",0,0,1,12,0,0,0,0,1,0,0,0,1,3,0,1
"Pecr",3,3,30,2,10,13,26,6,72,21,14,11,11,8,3,42
"Pef1",16,8,61,2,10,12,53,10,104,39,16,28,29,9,7,41
"Peg10",68,104,58,25,301,462,97,10,836,83,344,58,1327,410,52,635
"Peg12",0,0,3,0,0,1,2,2,4,0,3,2,1,0,0,7
"Peg13",1,0,1,0,0,0,2,1,4,1,5,1,1,0,0,0
"Peg3",27,53,197,5,61,171,97,26,969,132,182,221,359,14,6,81
"Peg3os",0,0,0,0,0,0,0,0,6,0,1,0,0,1,0,0
"Peli1",28,16,134,5,14,56,97,20,321,97,62,80,57,11,4,54
"Peli2",12,3,73,0,1,13,50,4,72,41,16,20,15,1,1,6
"Pelp1",29,14,222,11,20,52,143,11,360,98,67,64,64,30,6,80
"Pemt",0,0,8,0,0,6,11,1,29,2,3,5,3,3,0,3
"Penk",3,4,17,0,0,1,5,0,22,3,5,18,1,0,0,0
"Peo1",11,3,85,2,4,15,64,3,122,55,28,21,26,4,5,26
"Pepd",14,10,92,10,27,27,61,9,141,63,29,37,38,13,4,47
"Per1",5,0,19,1,11,2,18,1,35,10,6,8,3,7,4,7
"Per2",8,0,8,0,1,1,7,1,17,7,1,12,4,0,0,3
"Perm1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Perp",8,1,11,6,1,7,12,3,25,5,5,33,8,17,6,126
"Pes1",24,23,236,22,28,79,149,23,386,136,78,81,67,38,10,94
"Pet100",8,7,67,3,10,43,62,14,146,70,24,24,33,11,3,42
"Pet2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pex1",2,0,23,1,15,3,14,2,37,16,5,13,7,13,2,8
"Pex10",3,1,33,6,7,11,16,4,43,20,10,9,7,3,4,16
"Pex11a",1,2,12,0,0,3,4,1,19,4,3,5,1,1,0,5
"Pex11b",1,1,27,1,3,7,22,1,53,9,8,5,8,3,1,22
"Pex11g",0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,1
"Pex12",7,0,12,1,4,6,20,3,32,6,3,5,5,0,1,13
"Pex14",6,4,60,6,7,11,46,2,70,24,14,15,18,15,2,20
"Pex16",3,3,23,1,0,5,8,3,29,12,4,2,9,1,1,11
"Pex19",15,3,38,2,13,22,38,8,96,36,26,14,27,11,7,41
"Pex2",8,7,50,6,6,15,26,3,110,41,12,13,18,4,1,16
"Pex26",1,1,16,2,2,5,12,0,27,4,7,8,2,1,0,3
"Pex3",2,2,25,3,6,11,24,2,45,15,16,20,8,3,1,30
"Pex5",10,5,29,4,4,15,36,4,55,19,11,17,23,7,2,24
"Pex5l",0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0
"Pex6",7,5,51,1,7,10,41,8,89,33,20,27,24,5,5,31
"Pf4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pfas",15,16,202,9,10,49,158,23,285,139,74,59,72,22,7,106
"Pfdn1",58,24,329,16,35,96,255,25,483,181,94,145,127,36,26,187
"Pfdn2",57,20,259,16,41,84,237,26,405,172,76,102,138,31,9,137
"Pfdn4",48,22,286,30,44,138,306,30,629,254,128,112,132,48,25,215
"Pfdn5",74,32,314,13,42,125,292,32,705,243,127,127,136,39,17,116
"Pfdn6",34,14,262,13,20,76,216,13,432,187,93,111,119,33,10,85
